!	mul	!!	!	factorial	!	factorial	concat
"""householder"", in buddhism"	zh	居士	居	reside,sit,live,dwell	士	specialist,gentleman,soldier,bachelor,commendable,scholar,non-commissioned officer	concat
"""wanted"" posters"	de	steckbrieflich	steckbrief	profile,flier	lich	lich	concat
#	en	number	numb	numby,numbly,benumb,tobruise,benumbed	er	ur	concat
#	en	number	n		umber	umbery,umbrinous	concat
#	he	מס׳	מ	hebrew,numeral	ס׳	chapter	concat
#	ja	井桁	井戸	well	桁	order of magnitude,place	drop left
#	ja	いげた	いげた	#,♯,well	た	other,gojūon,who,field	drop left
#	ja	いげた	い	meaning,degree,sleep,ritsuryō,stomach,fallen,great,father,fifty,magnificent,states,different,pig,younger,boar,bulrush,-ly,clothing,intent,goodwill,unusual,threat,aberrant,seat,gojūon,authority,mistress,rush,sitting,excellent,five,robes,easy,doctor,well,throne,rank,being,gallbladder,italy,subject,you,circumference,medicine,liver,colorless,decimal places	げた	clogs	concat
#	ja	井桁	井	well	桁	place,order of magnitude	concat
#	zh	第一	第	degree,number,sequence,grade	一	single,each,all,throughout,alone,one,monday	concat
$100 hamburger	en	general aviation	general	without loss of generality,point-set topology,battler,ecumenical,generalness,pandemic,mean,subtype,generality,gen,all-,definitive,generalized,blanket,leisurewear,brigadier general,strategus,family medicine,generalship,g,generalcy,consensus,public,non-exclusive,general of the army	aviation	ifr,nonaviation,a.,vfr,aero,aerialism,crashpad	concat
'14-'18	en	world war i	world war	ww	i		concat
'ammiyya	en	arabic	arab	arabness,arabize,camel jockey,brownie,spahi,kebab,wakil,sheik,ayrab	-ic	-ally,-istical,-icity	concat
'are'are	en	oceanic	ocean	nonocean,oceany,midocean,antarctic ocean,deepwater,whale-path,isothermobathic,deep blue sea,oceanside,brim,bathyal,oceanward,sounding,blue,inland sea,oceanically,oceangoing,saltchuck,southern ocean,asea,the deep blue sea,benthic,oceanless,oceanwide,davy jones's locker,hydrothermal vent,tethys,iapetus,profound,deep,davy jones,transocean,abyssal,oceanview,transoceanically,oceanic,whale-road	-ic	-ally,-istical,-icity	concat
'at	en	that	t		hat	h@,cunt cap,chullo,hatted,comb,titfer,unhat,bonnet,felt,bongrace,unhatted,hattock,brim,behatted,chapeau-bras,crown,hatlessness,chapeau,tit for tat,shovel hat,sugar-loaf,petasus,brimmer,sombrero,straw hat,capping,hatful,hatlessly,behat,drawing,hatty,hatless,juggle,wideawake,tarpaulin,hatlike	concat
